Data;Regressor;Best_parameters;MSE;MAE;MAPE
aa_freq; KNN; "{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}"; 4238.627326614843; 32.29036955454546; 4607780.020870749
dipep_freq; KNN; "{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"; 3578.824433898592; 27.736770323776227; 4536847.621749374
tripep_freq; KNN; "{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}"; 5870.207139379303; 40.165073400699306; 912188.827105706
avg_protvec; KNN; "{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}"; 5264.466417842581; 32.42139004405594; 1443086.143324303
physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4032.816185341059; 32.126327596503494; 214157.4516638219
aa_freq+dipep_freq; KNN; "{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'uniform'}"; 2713.2435621577356; 28.995828645454548; 2274189.0625397647
aa_freq+tripep_freq; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}"; 3078.615787028448; 27.148469069640168; 2358212.7430198435
aa_freq+avg_protvec; KNN; "{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"; 3872.9836909510987; 29.606010813286716; 89305.1952793512
aa_freq+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4032.8153188812685; 32.12386955454546; 214108.29082466103
dipep_freq+tripep_freq; KNN; "{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"; 3957.5736295434326; 28.7758961979021; 4537307.7007670775
dipep_freq+avg_protvec; KNN; "{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"; 3812.866251237838; 28.626045848251746; 38427.619517675776
dipep_freq+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4338.643744063086; 32.70468074335664; 213970.74204054894
tripep_freq+avg_protvec; KNN; "{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"; 4392.751275574063; 30.319710183916087; 189661.5522240033
tripep_freq+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4335.419157524626; 32.66429612797203; 213970.6162644066
avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4341.027994605045; 32.51726815594405; 213921.20170831122
aa_freq+dipep_freq+tripep_freq; KNN; "{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}"; 5004.976604130156; 34.010199624475526; 4538020.152584641
aa_freq+dipep_freq+avg_protvec; KNN; "{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}"; 2906.8521699601783; 30.46263668741258; 1855472.0484756373
aa_freq+dipep_freq+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4338.552296982668; 32.700946477622374; 213921.57767843836
aa_freq+tripep_freq+avg_protvec; KNN; "{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"; 4469.164471999236; 30.907339554545448; 4536878.059338728
aa_freq+tripep_freq+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4335.356502078822; 32.66658633776223; 213970.68199652614
aa_freq+avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4341.027994605045; 32.51726815594405; 213921.20170831122
dipep_freq+tripep_freq+avg_protvec; KNN; "{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"; 4067.4025272423137; 28.639815079020977; 303059.0970285777
dipep_freq+tripep_freq+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4335.174994386514; 32.65357934475524; 213969.43081545213
dipep_freq+avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4353.697910863786; 32.80541500909091; 213920.26037831212
tripep_freq+avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4337.7306534844165; 32.46920871538461; 213969.12307813432
aa_freq+dipep_freq+tripep_freq+avg_protvec; KNN; "{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}"; 3780.2340817525346; 29.812283540559445; 4537862.385633743
aa_freq+dipep_freq+tripep_freq+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4335.181707785115; 32.65585906503496; 213969.47984718962
aa_freq+dipep_freq+avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4353.705689821829; 32.809408016083914; 213920.43005863184
aa_freq+tripep_freq+avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4353.634235276373; 32.80024717692307; 213920.29573547698
dipep_freq+tripep_freq+avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4337.572838099801; 32.46599193216783; 213969.11116412244
aa_freq+dipep_freq+tripep_freq+avg_protvec+physicochemical_prop; KNN; "{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}"; 4337.572838099801; 32.46599193216783; 213969.11116412244
