Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3585.09799397494;30.960163563268164;1366652.1647960201;(0.6602388310355943, 2.9702098019967813e-19)
dipep_freq;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2979.231669122358;27.870759796578067;2591004.4346608734;(0.6670161107913212, 9.469039408981146e-20)
avg_protvec;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}";3406.0984366985413;27.481173070431076;29823.800971127424;(0.6213541667735034, 1.231255601031797e-16)
shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3520.7752564973744;30.187418733862113;807789.603897691;(0.5679721976115942, 1.3835673452960968e-13)
residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";3619.8043299225765;30.602136653067266;427325.8453079702;(0.5705788826597961, 1.010776911042993e-13)
aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}";5836.1837079036795;37.89270697376339;905271.7620923157;(0.018342897494408098, 0.827863668776418)
helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}";5503.549738748771;37.208520649863104;33872684.854941905;(0.1634984482221305, 0.05103948461175672)
turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}";5506.777186393374;37.340130257915554;1295084.9810725069;(0.17351429728628298, 0.03822201756500645)
sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";5861.780367316437;36.48774034063626;605120.5157840638;(0.08889481071424762, 0.29106446596925045)
gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'uniform'}";5676.722991945649;36.73960878955528;195982.6098054803;(0.19296883354647748, 0.020939941080892158)
net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";4400.036254293475;33.62618589645733;274941.5460020794;(0.4184563180978773, 1.984689446148754e-07)
aa_freq+dipep_freq;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3053.4902329812376;28.290603291903984;1775380.2563791086;(0.6588822433281587, 3.720754163579443e-19)
aa_freq+avg_protvec;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";2966.6451101874436;28.886864163134796;2455169.307850771;(0.6683720756608922, 7.506025631767106e-20)
aa_freq+shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}";4037.893279319411;32.257542378478355;593552.6188982674;(0.6217074226026879, 1.1700435273274425e-16)
aa_freq+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3391.598514523575;28.858365449353734;52579.16578751364;(0.5911699671088033, 7.65862565493793e-15)
