Data;Regressor;Best_parameters;MSE;MAE;MAPE
aa_freq;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}";6.404887196989087;1.78398791707945;15.334216544270049
dipep_freq;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";4.929637869293266;1.4716589410155272;12.267070223596527
avg_protvec;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}";6.49889727311135;1.7837809048707454;15.057070396946278
shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}";5.897072482001779;1.7308413867041574;14.705747982668777
residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.808974967063296;1.6672102673230407;13.841933852861807
aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}";8.642080218144143;2.1833809223217937;18.00568242979353
helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}";10.657189237682262;2.2773953538157645;18.847941069367273
turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}";9.594809637918077;2.447216462203501;20.046128185414275
sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";10.243757868112457;2.35351430995702;19.762326875927155
gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'uniform'}";10.03844490995684;2.5047306299972973;20.58812499439421
net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";7.82134914323081;2.0708119526654065;17.17540186199915
aa_freq+dipep_freq;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.527438214291332;1.5564120041782965;13.04665117859735
aa_freq+avg_protvec;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.914265878181269;1.8226903241399073;15.396236304863345
aa_freq+shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.740617462901929;1.6522171523489422;13.892829449932572
aa_freq+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.086640381629718;1.589017030079001;13.211961069343554
aa_freq+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}";6.384086835743585;1.7967625052242375;15.450476068319658
aa_freq+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.742293212340613;1.6226563370458191;13.714816875667319
aa_freq+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}";6.484283726126528;1.8310088417847556;15.716267633309394
aa_freq+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.693624006263469;1.5881696159127705;13.362588849832747
aa_freq+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";6.938274969501033;1.7990486489993023;15.049044875747297
aa_freq+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";7.532069444509998;2.0130872902394517;17.223100027534283
dipep_freq+avg_protvec;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.851843615031899;1.6686923455572553;14.021498910301714
dipep_freq+shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.517460305166319;1.561722200516416;12.898444584992136
dipep_freq+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.418186651056979;1.594589941515225;13.192102524200205
dipep_freq+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.195532818064616;1.5211960767616302;12.59561688508502
dipep_freq+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.13494140937628;1.4755542237559232;12.286815943452854
dipep_freq+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";4.92424126442894;1.4417509934177586;11.93221791296319
dipep_freq+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.133012301614565;1.4913520084902963;12.270599329083804
dipep_freq+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";4.299704183256661;1.4703197945194217;12.199886003071033
dipep_freq+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";6.178262567048564;1.8483645991044673;15.629397759545805
dipep_freq+avg_protvec;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.851843615031899;1.6686923455572553;14.021498910301714
dipep_freq+shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.517460305166319;1.561722200516416;12.898444584992136
