Data;Best_params;MSE;MAE;MAPE;PCC
aa_freq;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'};4950.98980839116;44.55324235234301;135.5908040909089;(0.5938284008117062, 0.0004287091878107359)
dipep_freq;{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'distance'};6915.114901967323;51.759739644621106;1210.9532366897415;(-0.10848758264160237, 0.561287650438226)
avg_protvec;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};6235.975310033917;48.53059595063424;295.25802229009054;(0.08605268601380038, 0.6453099360425933)
shannon_entropy;{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'};4903.118461145959;42.93569707878908;121.26527702308955;(0.5109300175932671, 0.003312029288256419)
residue_repeats;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5702.791175596013;46.05096690273405;160.6639806716751;(0.2704277061392643, 0.14118884389631356)
paac;{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'};5306.159540711379;47.871108062796054;238.51784950561753;(0.21975419671664426, 0.23489359883948296)
cetd;{'metric': 'chebyshev', 'n_neighbors': 9, 'weights': 'distance'};4946.811107266935;45.650638983887305;308.03510857169204;(0.3588483557704384, 0.047427161734844764)
net_contact_energy;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'};5486.084835980051;45.21623084280426;155.35733454305634;(0.25156623263200295, 0.17219795054641693)
aromaticity;{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'};6430.092968402078;52.29077090159393;954.0364351390979;(-0.12551146421890425, 0.5010942710218536)
helix;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};6343.064786192937;50.193672169916596;565.9925710355617;(-0.20407497383673262, 0.27081506382845005)
turn;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};6857.105177000804;54.610314970308494;614.9796745236391;(-0.12491801524184301, 0.5031366056440835)
sheet;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};6782.189827674244;52.795437935978114;730.3830132751636;(0.05215269196736223, 0.7805282032742332)
gravy;{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'};7209.378027346124;54.17038768422176;661.1324577882446;(-0.0173183686837476, 0.9263255376362695)
net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};6264.559054066778;48.55483728520381;247.11590264758746;(0.08476432079835078, 0.6502816864950712)
aa_freq+dipep_freq;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};5414.796008194004;45.18389143270211;127.08287020222002;(0.5179947714551785, 0.0028375070834515286)
aa_freq+avg_protvec;{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'};5222.528073651199;45.64073365781778;122.5428753677049;(0.514513200952704, 0.00306344682984476)
aa_freq+shannon_entropy;{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'};4851.200867790585;41.68404949076497;117.62332053558507;(0.5108961536162615, 0.003314459132575991)
aa_freq+residue_repeats;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'};5256.842783907141;44.18986697661849;128.5798845990185;(0.45734683756258676, 0.009688238942223482)
aa_freq+paac;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};4559.191066010919;43.08010193008487;195.1966511916405;(0.5057270979602768, 0.0037038506941039434)
aa_freq+cetd;{'metric': 'chebyshev', 'n_neighbors': 9, 'weights': 'distance'};4946.811107266935;45.650638983887305;308.03510857169204;(0.3588483557704384, 0.047427161734844764)
aa_freq+net_contact_energy;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5367.823003044713;43.480898709177225;151.8026190214249;(0.2981631726316075, 0.10327452518904685)
aa_freq+aromaticity;{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'};5396.759618597633;46.6569079470894;134.418850636105;(0.5466996875232283, 0.0014615329347834852)
aa_freq+helix;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'};5207.830532335381;44.67502055526513;157.39828802587323;(0.4674054181509395, 0.008020780415796609)
aa_freq+turn;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'};5175.794842525907;45.886448124906124;163.05611405415738;(0.46241782070783666, 0.00881433607970921)
aa_freq+sheet;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};4037.77687152116;40.77855020240871;156.1832789094313;(0.6125059602586995, 0.0002497789094115336)
aa_freq+gravy;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};5332.2063342048095;46.38835871488861;215.4834418150526;(0.49132778027933155, 0.005002604693421728)
aa_freq+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5541.1461640087;46.56983042959272;190.85826197529605;(0.4814108923089523, 0.0061084500076629316)
dipep_freq+avg_protvec;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'};5108.07892090144;44.61681920204432;216.3375963508076;(0.47367119790628937, 0.007110409346347553)
dipep_freq+shannon_entropy;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};5356.687698068674;44.61925793769908;111.5791189279691;(0.5132771138073183, 0.003147315672257777)
dipep_freq+residue_repeats;{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'};4826.6140942848915;43.30483744146816;151.36531838255692;(0.5593431910182256, 0.0010705526577508265)
dipep_freq+paac;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};4828.071808353787;44.72033957718066;206.3167590578158;(0.3185155393677786, 0.08074997819435217)
dipep_freq+cetd;{'metric': 'chebyshev', 'n_neighbors': 9, 'weights': 'distance'};4946.811107266935;45.650638983887305;308.03510857169204;(0.3588483557704384, 0.047427161734844764)
dipep_freq+net_contact_energy;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5456.424846465616;45.02876679227662;155.94381435749946;(0.2246469772012769, 0.22437176053697894)
dipep_freq+aromaticity;{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'};5461.804130325929;45.95044830866411;178.48407740624643;(0.37950274261940126, 0.03523498231744093)
dipep_freq+helix;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};5475.633852282791;45.134484963456146;238.06164119267152;(0.3272952183818629, 0.07229018415075404)
dipep_freq+turn;{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'};5481.35941332051;46.03336207251843;185.56792643392427;(0.4539795402796992, 0.010308039994382387)
dipep_freq+sheet;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};11451.220032516138;65.5851612903226;1214.920732319646;(0.16644018229865443, 0.3708499579978608)
dipep_freq+gravy;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};5175.317015236598;46.94955578361433;240.9820504941917;(0.40673874950409017, 0.02316253210497064)
dipep_freq+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'};5244.54929113693;44.74316913547487;280.1376411045489;(0.5934922322349135, 0.00043276708954228854)
avg_protvec+shannon_entropy;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};6027.787618839724;46.93772262571768;129.26331108019627;(0.3405096306754418, 0.060872324537306705)
avg_protvec+residue_repeats;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};5814.59505802067;47.12484931797472;151.4945390486722;(0.17460020036948098, 0.347511486094406)
avg_protvec+paac;{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'};4834.454003296862;43.56995611604013;195.79206723199044;(0.329202413743999, 0.07054684678085786)
avg_protvec+cetd;{'metric': 'chebyshev', 'n_neighbors': 9, 'weights': 'distance'};4946.811107266935;45.650638983887305;308.03510857169204;(0.3588483557704384, 0.047427161734844764)
avg_protvec+net_contact_energy;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'};5023.535245987002;44.02276209859573;181.60878682317892;(0.2664682460310492, 0.14733397217056976)
avg_protvec+aromaticity;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'};6381.689149392982;49.48614248625805;400.82875456335614;(-0.0020473761998807127, 0.991278617344081)
avg_protvec+helix;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};6200.24663691095;47.70479973824883;282.81252926753496;(0.10341947866577358, 0.5798247349661808)
avg_protvec+turn;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'};6060.873829642352;44.984827326438065;323.9077774647508;(0.15560183576816947, 0.4032331697238203)
