Data;Best_params;MSE;MAE;MAPE;PCC
aa_freq;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};4149.758538293164;32.125068855244756;4607826.710570336;(0.5173605328319729, 3.6896555438253535e-11)
dipep_freq;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3773.74381649999;28.484085009090908;4536615.4253278645;(0.6295104037456279, 3.7306426648663374e-17)
avg_protvec;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5264.466417842581;32.42139004405594;1443086.143324303;(0.5590921447625467, 3.9501821345836184e-13)
shannon_entropy;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5181.276822991066;33.46309682727273;3216092.241363829;(0.3560246270520673, 1.2774569251656268e-05)
residue_repeats;{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'};2984.970462602293;30.865207891664504;4757992.864419412;(0.6154873592722903, 2.8450817473558457e-16)
paac;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5271.74725972687;32.90978913496503;1269117.8231815884;(0.5792179048110812, 3.500233138016886e-14)
cetd;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4936.737491574257;31.504940813286716;83539628.7534789;(0.5249182447093268, 1.6977266068499257e-11)
net_contact_energy;{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'uniform'};4585.866527812319;42.172924573617294;19500738.673219103;(0.25266121409963416, 0.0023312595700619373)
aromaticity;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};5244.598826713189;49.31642549860139;14390096.98565254;(0.3797480598681209, 2.900892006304232e-06)
helix;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};6217.17569860358;43.86253766643356;75778257.56347711;(0.36404979189995273, 7.838629909335755e-06)
turn;{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'};5474.0688569541435;42.38178622451704;3105509.73317884;(0.20891767274445192, 0.012277673618051203)
sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};7228.936462846971;47.00137053356644;645537.3352834578;(0.10255105548071665, 0.2229256724895258)
gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};10029.690015316122;55.32794997412587;404104.6754099692;(-0.06257096768663924, 0.45784453027913447)
net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'};6135.323322074271;43.2979813473588;9765463.68170303;(0.3733542574680585, 4.376098025606253e-06)
aa_freq+dipep_freq;{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'uniform'};2978.090214759134;28.519302072027976;2274003.5734915957;(0.6355282563470647, 1.5109388885999376e-17)
aa_freq+avg_protvec;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3872.9836909510987;29.606010813286716;89305.1952793512;(0.6636278377847777, 1.6831845118673806e-19)
aa_freq+shannon_entropy;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5178.07227753652;33.410649274825175;3216074.7588463468;(0.35659408763304773, 1.234477585757175e-05)
aa_freq+residue_repeats;{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'};2442.094409972487;30.29070348811188;675462.9741182267;(0.7117387471306441, 2.2059929764355786e-23)
aa_freq+paac;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5271.747246188409;32.90948144265734;1269102.438566204;(0.5792189020771531, 3.499798361055525e-14)
aa_freq+cetd;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};5313.60800003283;32.370474449650345;83539960.41359659;(0.5042875494489565, 1.3518096583835575e-10)
aa_freq+net_contact_energy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};6377.58517186097;37.83594081328671;5196254.9268237185;(0.29348710829337443, 0.00037445352637460765)
aa_freq+aromaticity;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};4108.250183216241;31.672593330769228;4607317.987968834;(0.5091999213254963, 8.352371199182275e-11)
aa_freq+helix;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};4453.325515634842;32.08095696713287;1035686.3278787377;(0.48733378974386177, 6.723762605102927e-10)
aa_freq+turn;{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'};2743.2757201061413;31.54652775034965;1136843.9156498655;(0.7008041640235401, 1.9672794594163078e-22)
aa_freq+sheet;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};3426.4406443351227;29.883166757342657;4607957.883509159;(0.5797382166587425, 3.280386356942158e-14)
aa_freq+gravy;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};6232.506031984119;39.265704659440566;449386.7411363915;(0.28544388623958666, 0.0005489953607398689)
aa_freq+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5826.186093705052;38.07853738671329;382581.1352161791;(0.2948711935633339, 0.0003501939662315206)
dipep_freq+avg_protvec;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};3812.866251237838;28.626045848251746;38427.619517675776;(0.6233574253593334, 9.212735691466518e-17)
dipep_freq+shannon_entropy;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5207.717942172884;33.90381710699301;3216093.248140088;(0.35433706863539227, 1.4132687504726309e-05)
dipep_freq+residue_repeats;{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'};2840.391648246348;31.127026442913692;4566512.312180502;(0.6647001095789791, 1.404177653556711e-19)
dipep_freq+paac;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4629.281482824773;30.813963960139862;1268462.4301784923;(0.5371655252147187, 4.629933864161024e-12)
