	 M wt (Da) 	 Number of Amnio Acids 	 Charged (DEKHR) 	 Aliphatic (ILV) 	 Aromatic (FHWY) 	 Polar (DERKQN) 	 Neutral (AGHPSTY) 	 Hydrophobic (CFILMVW) 	 + charged (KRH) 	 - charged (DE) 	 Tiny (ACDGST) 	 Small (EHILKMNPQV) 	 Large (FRWY) 
>tr|Q2Q9Z6|Q2Q9Z6_MYTCA	 7782.00 	69	8.70	14.49	27.54	21.74	52.17	26.09	5.80	2.90	33.33	39.13	27.54
>tr|Q16198|Q16198_HUMAN	 8192.00 	76	6.58	13.16	10.53	26.32	55.26	18.42	1.32	5.26	42.11	46.05	11.84
>sp|P62312|LSM6_HUMAN	 9117.00 	80	23.75	25.00	8.75	37.50	30.00	32.50	15.00	8.75	27.50	56.25	16.25
>sp|Q9Y4Y9|LSM5_HUMAN	 9926.00 	91	24.18	29.67	4.40	31.87	29.67	38.46	8.79	15.38	30.77	62.64	6.59
>sp|Q9Y333|LSM2_HUMAN	 10822.00 	95	26.32	28.42	10.53	34.74	28.42	36.84	13.68	12.63	29.47	58.95	11.58
>sp|P63165|SUMO1_HUMAN	 11544.00 	101	36.63	17.82	9.90	41.58	32.67	25.74	17.82	18.81	29.70	61.38	8.91
>sp|P62310|LSM3_HUMAN	 11832.00 	102	34.31	27.45	6.86	40.20	27.45	32.35	13.73	20.59	27.45	58.82	13.73
>sp|P55854|SUMO3_HUMAN	 11624.00 	103	32.04	16.50	8.74	40.78	33.01	26.21	15.53	16.50	32.04	57.28	10.68
>sp|Q9UK45|LSM7_HUMAN	 11589.00 	103	31.07	24.27	5.83	39.81	28.15	32.04	14.56	16.50	33.01	56.31	10.68
>sp|P0AA30|THIO_SHIFL	 11793.00 	109	25.69	24.77	8.26	31.19	34.86	33.95	11.01	14.68	39.45	52.29	8.26
>tr|B7JB29|B7JB29_ACIF2	 12863.00 	110	25.45	15.45	19.09	30.00	42.73	27.27	13.64	11.82	29.09	50.00	20.91
>sp|P04716|RBS_SYNP6	 13318.00 	111	28.83	17.12	17.12	35.14	31.53	33.33	14.41	14.41	24.33	54.05	21.62
>tr|B7JA25|B7JA25_ACIF2	 13540.00 	118	26.27	17.80	15.25	33.05	39.83	27.12	14.41	11.86	30.51	53.39	16.10
>sp|Q13542|4EBP2_HUMAN	 12925.00 	120	22.50	16.67	8.33	29.17	47.50	23.33	12.50	10.00	41.67	48.34	10.00
>sp|Q9GZQ8|MLP3B_HUMAN	 14671.00 	125	31.20	24.80	11.20	37.60	28.00	34.40	17.60	13.60	21.60	62.40	16.00
>sp|Q9P805|DCP1_SCHPO	 14966.00 	127	26.77	29.13	15.75	34.65	26.77	38.58	14.96	11.81	20.47	62.20	17.32
>sp|O15116|LSM1_HUMAN	 15162.00 	133	33.84	30.08	6.77	39.85	26.32	33.84	15.79	18.05	26.31	62.41	11.28
>sp|Q9Y4Z0|LSM4_HUMAN	 15332.00 	139	28.06	17.98	6.47	37.41	35.25	27.34	18.71	9.35	32.37	53.24	14.39
>sp|P00698|LYSC_CHICK	 16220.00 	147	19.05	19.73	9.52	29.93	35.38	34.69	12.93	6.12	41.50	41.50	17.01
>sp|Q12988|HSPB3_HUMAN	 16946.00 	150	31.33	26.67	10.67	32.00	34.00	34.00	16.00	15.33	30.00	56.67	13.33
>sp|P00441|SODC_HUMAN	 15918.00 	154	28.57	20.78	8.44	29.87	42.86	27.27	14.94	13.64	44.16	50.00	5.84
>sp|P52298|NCBP2_HUMAN	 17981.00 	156	32.69	14.74	12.82	41.02	35.26	23.72	17.31	15.38	37.18	41.66	21.15
>sp|P62750|RL23A_HUMAN	 17674.00 	156	37.82	20.51	7.69	41.03	35.26	23.72	28.85	8.97	27.56	60.26	12.18
>sp|P98179|RBM3_HUMAN	 17152.00 	157	28.03	8.92	15.29	34.40	49.68	15.92	15.92	12.10	44.59	31.21	24.20
>sp|P63279|UBC9_HUMAN	 17986.00 	158	26.58	17.72	11.39	34.18	36.08	29.75	15.19	11.39	28.48	56.33	15.19
>sp|P35979|RL12_MOUSE	 17784.00 	165	28.48	23.64	4.85	33.94	37.58	28.48	17.58	10.91	35.76	55.76	8.48
>sp|Q14011|CIRBP_HUMAN	 18628.00 	172	29.07	8.72	12.21	36.05	47.09	16.86	16.28	12.79	48.84	27.32	23.84
>sp|P07320|CRGD_HUMAN	 20715.00 	174	28.74	16.67	17.24	35.06	36.21	28.73	16.09	12.64	32.18	41.95	25.86
>sp|P18566|RBS2_ORYSJ	 19608.00 	175	21.71	20.00	12.57	28.00	39.43	32.57	12.57	9.14	32.57	50.29	17.14
>tr|B1MUE7|B1MUE7_DISMA	 20726.00 	175	29.14	13.14	15.43	37.14	35.43	27.43	16.57	12.57	32.57	42.86	24.57
>tr|B1MUE1|B1MUE1_DISMA	 21645.00 	178	28.65	6.74	14.61	38.76	26.40	34.83	15.73	12.92	27.53	48.88	23.60
>tr|A0A0G2UMW8|A0A0G2UMW8_DOSGI	 17036.00 	179	16.20	16.76	21.23	8.94	67.04	24.02	11.17	5.03	54.19	35.20	10.61
>tr|B1MUE4|B1MUE4_DISMA	 21500.00 	180	28.89	10.00	12.22	38.33	29.45	32.22	15.56	13.33	28.33	51.11	20.56
>sp|Q16082|HSPB2_HUMAN	 20210.00 	182	30.77	19.78	12.09	30.22	44.51	25.27	14.29	16.48	32.97	50.00	17.03
>tr|B1MUE8|B1MUE8_DISMA	 22257.00 	184	28.80	8.15	14.67	38.04	29.35	32.61	15.76	13.04	28.80	47.83	23.37
>sp|P00873|RBS1_CHLRE	 20596.00 	185	18.92	18.92	10.81	28.65	38.38	32.97	11.35	7.57	33.51	49.73	16.76
>sp|P83916|CBX1_HUMAN	 21394.00 	185	45.95	15.13	8.11	50.27	27.03	22.70	20.00	25.95	29.73	59.46	10.81
